cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6,label
0,548.9675132,57,0.0025653,0.003899927,0.103831281,15.40129865,0.2,7.624548795,1.255431193,0.741456827,0.57362153,44.47226151,1.84788587,-0.239880044,-35.12777362,3.831831458,0.325847379,4.001633141,-0.152975012,6.18839331,-1.635245424,4.033318956,-0.933312912,-0.386691119,0.465053791,3.884938407,5.091593524,6.622157041,7.916673075,8.881919896,10.18722019,11.20860868,11.68389218,12.84242433,13.65250963,0.882352941,0.588235294,0.367647059,0.264705882,0.205882353,0.147058824,0.117647059,0.102941176,0.073529412,0.058823529,0.358484246,0.196578024,0.377627164,0.052755778,0.067535857,0.093983506,-0.01907842,-0.127360373,-0.246642202,-0.222032534,0.368421053,0.315789474,0.411764706,0.352941176,0.631578947,0.578947368,0.963786526,0.103670117,1.952361301,0.840042258,0.150809145,1.63494324,1.308746715,0.009764875,2.67397214,1.154992753,0.037374153,2.352155652,1.00338405,0.060390074,2.737468841,0.867074024,0.107529102,1.980525715,0
1,486.0572423,126.6491216,0.556477912,0.296436415,0.26056421,15.92607924,0.282842712,6.750795032,1.292227533,0.814534467,0.866331541,30.03035987,2.561564182,0.311134026,45.07895486,8.528055895,5.197856254,8.79738706,6.840260525,4.445569025,4.124069051,3.637646411,2.430260404,0.376111039,-0.192759205,4.100384909,4.879194605,5.690211723,6.820916072,8.597065197,11.63812619,12.4859246,13.4390888,13.4390888,14.49397488,0.941176471,0.720588235,0.529411765,0.352941176,0.205882353,0.102941176,0.088235294,0.073529412,0.073529412,0.058823529,0.477770677,0.315307905,0.239626388,0.246483665,0.104287146,0.098015559,-0.086054527,0.075366573,-0.036074058,0.00528645,0.684210526,0.684210526,0.631578947,0.684210526,0.647058824,0.588235294,0.788805822,0.028838599,2.259659067,0.754364932,0.008780177,2.220707604,0.900679784,0.040660093,2.236951569,0.881768061,0.026945073,2.253182155,0.741559492,0.035341753,2.167995483,0.692940551,0.006410169,2.10512247,0
2,571.4789749,167.6722994,0.065741941,0.003931527,0.293400644,13.14686274,0.282842712,7.937207985,1.463021071,0.863494275,0.334855558,49.93368665,1.407508005,-0.157815894,71.76665046,2.025719833,3.543966033,0.13086535,-0.123997539,-1.303532307,-0.945829328,-0.231006329,-0.889756587,0.039122459,-0.92576025,6.096551167,6.965713204,7.996092183,8.976604796,10.00458572,11.12103685,11.32995759,11.53922323,12.306145,13.02145972,0.838235294,0.705882353,0.573529412,0.470588235,0.382352941,0.308823529,0.294117647,0.279411765,0.220588235,0.176470588,0.553414692,0.210099682,0.217426195,0.25898077,0.248684817,0.315197021,0.52153877,0.563736177,0.255140363,0.062941093,0.35,0.4,0.421052632,0.421052632,0.315789474,0.315789474,0.838526523,0.040606192,2.757575989,0.903941764,0.029199117,2.72225281,0.734307237,0.144741758,2.702807906,0.847861758,0.214547067,2.667484726,0.836489357,0.117255135,2.633837379,0.868301229,0.070461017,2.5985142,0
3,523.9393753,42.94182111,0.260111678,0.24269967,0.081959523,8.4,0.2,7.276935768,0.838334208,0.82664774,-0.106678712,24.16733359,0.919679744,-0.015066661,-44.98572832,0.953419202,-0.800644491,0.675009115,-0.831079096,0.809281148,0.037010023,-0.354395525,-1.032794363,-0.875862431,-0.630357503,3.522536002,4.090901145,5.219080284,6.499086272,7.071109177,7.371366098,8.338520465,8.589438499,9.551963149,0,0.941176471,0.735294118,0.441176471,0.25,0.191176471,0.161764706,0.073529412,0.058823529,0.014705882,0,0.222435721,0.197406737,0.263130849,0.053344017,0.032811071,-0.102889979,-0.116172115,0.008989788,0.027126793,0.031078462,0.444444444,0.444444444,0.611111111,0.611111111,0.578947368,0.578947368,1.020945877,0.016525703,2.706050092,0.937474562,0.087280354,2.431881109,0.961865372,0.002702696,2.605064184,0.899340137,0.017235044,2.330895201,1.062915651,0.040659141,2.559654999,1.00923158,0.152124382,2.37784682,0
4,484.9897365,63.34824386,0.001221094,0.005526714,0.1306177,6.965629907,0.2,6.735968562,0.828654965,0.823151307,0.148356907,26.4774007,1.414020682,-0.211066257,-18.04277396,1.722378942,-1.011613733,1.074344402,6.062017973,-1.436937751,-0.997927544,-1.116578342,-0.362255262,0.503496583,-1.02471999,2.896360113,3.644660253,4.504025544,5.698974445,6.778642316,7.941480278,8.528435553,9.414881837,9.414881837,0,0.867647059,0.573529412,0.338235294,0.161764706,0.088235294,0.044117647,0.029411765,0.014705882,0.014705882,0,0.206136325,0.466462767,0.239859414,0.232006698,0.112009208,0.14632991,0.253136176,-0.000413296,0.1376603,-0.049683527,0.421052632,0.473684211,0.421052632,0.473684211,0.315789474,0.315789474,0.851087514,0.143351503,1.938133647,0.792953346,0.057340783,1.860196113,0.898638823,0.086924496,2.051633385,0.863118678,0.181005824,1.80943109,0.939272752,0.012925052,2.311202452,0.916776498,0.024368434,2.069000157,0
5,405.3582001,18,0.761214678,0.831499135,0.044405171,12.56025477,0.2,5.629975001,1.025070477,0.7667281,0.796167168,23.65775236,2.202418153,0.546409063,-50.02724676,6.96038842,8.108162436,3.554908724,-0.082598651,1.994887283,4.033915179,1.330623187,1.859359031,0.640791815,-0.708133276,3.161118047,4.202489141,5.741725497,7.980201192,9.732311412,10.56450263,10.56450263,11.33346377,11.33346377,12.02295574,0.794117647,0.5,0.264705882,0.132352941,0.088235294,0.073529412,0.073529412,0.058823529,0.058823529,0.044117647,0.310601937,0.340303609,0.149722364,0.131608478,0.153095929,0.274101191,0.210923198,-0.053702109,-0.074943891,-0.221903376,0.6,0.55,0.526315789,0.473684211,0.5,0.444444444,0.729066033,0.049724398,1.988867446,0.700720972,0.034330842,2.019064053,0.549705426,0.064048583,1.401019073,0.559898091,0.056679303,1.410852846,0.549482048,0.015932835,1.645344239,0.570848151,0.10479505,1.771218512,0
6,637.5033596,84.11896338,0.01438273,0.010163127,0.13195062,14.80810589,0.447213595,8.854213328,1.482749296,0.714774955,0.118625544,36.7933134,1.405856134,-0.204685307,-22.86690332,3.951511231,0.35917719,-1.11846918,1.70936049,-1.44438372,-1.147611157,-1.292696531,-1.261411728,-1.805662529,-1.348882374,5.771999076,6.109801759,6.978528425,7.990196925,9.312704608,10.19840716,10.59851133,11.13685789,11.67252762,12.81914729,0.955882353,0.882352941,0.705882353,0.544117647,0.397058824,0.323529412,0.294117647,0.25,0.205882353,0.132352941,0.383810416,0.191617628,0.156510817,0.076369786,0.052994834,0.049706613,-0.183397175,-0.023819983,-0.018353631,-0.140349825,0.55,0.6,0.473684211,0.578947368,0.473684211,0.578947368,0.483432243,0.002912785,2.178272855,0.470461957,0.025081288,2.044254413,0.387937515,0.043343039,1.086698105,0.393560984,0.030318978,1.180576783,0.364761672,0.019608531,0.923113834,0.369646728,0.013304743,0.870253023,0
7,468.3098311,37.94733192,0.025595955,0.061561848,0.081030398,11.76435294,0.2,6.504303209,0.598365162,0.679529852,1.729189154,59.08301244,2.639492736,-0.200171021,-40.64446278,7.29018757,4.31941125,2.372049535,-0.203022313,1.269903321,-0.230487636,-0.571030144,-1.189811712,-1.217740448,0.977910828,3.827914538,4.875922729,6.540345801,7.071635665,7.790253559,8.660021946,9.242886747,9.757310577,10.61030302,12.56893333,0.955882353,0.661764706,0.397058824,0.338235294,0.264705882,0.191176471,0.147058824,0.117647059,0.073529412,0.029411765,0.285390386,0.316357968,0.089314449,0.24526454,-0.020493222,-0.140397494,-0.175811429,-0.113474752,-0.111548595,-0.07927667,0.5,0.45,0.526315789,0.578947368,0.578947368,0.578947368,0.628078629,0.014253229,2.054149052,0.620551261,0.014927732,2.128472704,0.723755553,0.027077296,2.121456154,0.698123068,0.001044295,2.166463339,0.784863141,0.006817681,2.219963752,0.762010701,0.044721091,2.264970937,0
8,445.1429318,43.8634244,0.036879793,0.028799653,0.098537843,7.088018059,0,6.18254072,1.11495458,0.682913469,-0.202736602,14.38290121,0.802165953,-0.21691747,-30.84049935,0.442798746,-0.635722823,-0.320699784,-1.082498815,-0.608617531,1.840647075,0.652200196,-0.554918759,-1.295709048,-1.458830929,3.820306231,4.164030286,4.6271193,5.679531802,6.399371719,7.169198261,7.606357807,8.062257748,0,0,0.926470588,0.808823529,0.632352941,0.338235294,0.205882353,0.102941176,0.058823529,0.014705882,0,0,0.114622895,0.285265185,-0.005143913,-0.07758613,-0.132321794,-0.026968192,-0.040544343,0.026232918,-0.083534238,0.027670226,0.4,0.25,0.263157895,0.263157895,0.157894737,0.157894737,0.764170512,0.007513494,2.166158708,0.751627106,0.003482119,2.197845333,0.764872119,0.029439774,2.011296411,0.765407711,0.007448157,2.087424973,0.678304971,0.021058773,2.024994185,0.700414635,0.003764131,2.101122746,0
9,404.2104998,30.46309242,0.109379822,0.074142008,0.075364426,8.236504113,0.2,5.61403472,0.812966972,0.81307316,0.354398404,16.74347784,1.857543579,-0.133581299,-37.3715472,6.320025822,-0.002859741,-0.278272616,-1.276592001,-1.005487093,-1.124797729,-0.466603396,-0.211509379,0.791251537,-1.272379459,3.4647196,4.110286379,4.851266344,5.353808509,6.618263521,7.460480143,8.580520854,9.176055798,9.176055798,0,0.75,0.558823529,0.382352941,0.279411765,0.117647059,0.058823529,0.029411765,0.014705882,0.014705882,0,0.27790158,0.133877362,0.228683756,0.168168471,0.123991343,0.286709372,0.158421915,-0.132905679,0.268584234,0.029029193,0.5,0.55,0.473684211,0.526315789,0.555555556,0.555555556,0.465345809,0.068856489,1.443648589,0.429490395,0.025212048,1.467555675,0.585112677,0.014308881,1.579803295,0.556767079,0.028790918,1.603710381,0.480871097,0.046255258,1.505413567,0.454002695,0.077866959,1.529320653,0
10,544.4614617,175.3681841,0.911456633,0.807832718,0.322094761,14.28005602,0.6,7.561964746,1.097554596,0.784411844,0.05961633,33.34117524,1.129703307,0.670680522,83.99661644,1.177985476,-0.469010058,0.541725996,-0.267905635,-0.028311127,0.148517702,-0.017974108,1.361658215,0.328247511,-0.640055335,6.21519968,6.780197896,7.243782859,7.92498209,8.899484724,10.24768888,11.38495654,12.76460392,13.52448582,13.52448582,0.970588235,0.867647059,0.779411765,0.661764706,0.514705882,0.367647059,0.279411765,0.205882353,0.176470588,0.176470588,0.338892555,0.343283752,0.210655757,0.152755602,-0.03390143,-0.07515326,-0.251089585,-0.070699262,-0.300656265,-0.182823048,0.45,0.35,0.473684211,0.421052632,0.526315789,0.473684211,0.333044475,0.004326211,1.409753714,0.322252728,0.0129167,1.340181517,0.374337597,0.010430987,1.326939251,0.370393437,0.001478373,1.273393102,0.420349323,0.011218919,1.797683634,0.39633662,0.005330144,1.775752177,0
11,747.3293408,174.5422585,0.243707751,0.126676911,0.233554671,17.69180601,0.282842712,10.37957418,1.377980847,0.650172342,0.097355879,48.53371221,1.561353687,-0.005575397,49.12538652,3.597789144,3.659982055,3.228833737,1.225876009,-0.792753086,-0.335486618,-0.182939333,-0.674462784,0.578472912,-0.447297884,7.332848686,7.426201573,7.591351992,7.937697752,8.571219097,9.680278187,10.31709066,11.54156998,12.72188829,12.92377649,0.970588235,0.955882353,0.926470588,0.852941176,0.720588235,0.529411765,0.441176471,0.308823529,0.220588235,0.205882353,0.20175564,0.022171247,-0.064335262,-0.083969472,-0.0915283,-0.040358419,-0.078701206,0.054671269,-0.129253617,-6.35E-05,0.75,0.75,0.631578947,0.631578947,0.631578947,0.631578947,0.388022388,0.004365051,1.751157565,0.37344262,0.0113113,1.69556279,0.370319826,0.020044073,1.755815916,0.35531468,0.015174672,1.700221141,0.325289983,0.046655236,1.580007455,0.315612346,0.041785835,1.524215645,0
12,361.1410748,97.67292358,0.783763942,0.773251996,0.270456424,6.264183905,0.2,5.015848261,1.160231216,0.717317612,-0.204945328,10.775466,0.72394654,0.537442282,37.06619844,-0.068930934,-0.928352669,-0.528649061,-1.331754298,-1.237019563,-1.460576873,0.803474227,-1.366342949,0.324180261,-1.05422544,3.759355149,4.217978313,4.867947348,5.455602321,5.906068089,6.266907651,0,0,0,0,0.941176471,0.779411765,0.573529412,0.397058824,0.264705882,0.132352941,0,0,0,0,0.206004744,0.132363198,-0.040234177,0.036101658,0.004141407,-0.119779385,0.138563927,0.024030376,0.164090383,0.068313337,0.45,0.5,0.421052632,0.473684211,0.473684211,0.473684211,0.68778801,0.066927121,2.073463161,0.66108048,0.102932617,2.025420455,0.662051424,0.122911775,2.440580903,0.652912505,0.054524648,2.491157098,0.633050688,0.013563837,1.761454613,0.641175218,0.006660212,1.79589306,0
13,284.2982104,22.8035085,0.248930616,0.33442641,0.080209821,4.294182111,0.2,3.948586255,0.940272191,0.70348381,0.046143736,7.712860061,1.339743426,0.008979559,-24.90744075,2.228536371,-0.665379437,-0.979060733,-0.701292113,-0.753174257,-0.702682509,0.093798881,-0.620022088,-1.220345614,-1.234643298,2.513596921,3.119209636,3.775244844,4.398455926,0,0,0,0,0,0,0.808823529,0.5,0.25,0.058823529,0,0,0,0,0,0,0.023592605,0.118677993,0.093086874,0.15580664,-0.016839044,0.065013598,0.25408265,0.094879675,-0.183212534,0.115692283,0.526315789,0.578947368,0.526315789,0.473684211,0.5,0.611111111,0.695440126,0.020969492,2.096039378,0.710871658,0.038598706,2.129898467,0.652913593,0.006253281,1.998943067,0.648944321,0.011584653,2.032802156,0.613180261,0.041995848,2.123405728,0.652194285,0.023783923,2.182496863,0
14,521.0976417,106.9298836,0.787649609,0.655289536,0.205201243,10.38460399,0.447213595,7.237467246,1.372837674,0.854068763,-0.088048866,22.38304629,1.103954738,0.519557561,19.47923411,1.457191745,1.088128335,0.667996754,-1.238255517,0.246373044,-0.823630164,1.817870124,-0.594569705,-1.289590727,0.238533899,4.164237293,4.664908596,5.523203357,6.018185637,6.93907446,7.970350663,8.797481549,9.465140463,10.59057485,11.96160524,0.882352941,0.735294118,0.529411765,0.426470588,0.279411765,0.161764706,0.102941176,0.073529412,0.029411765,0.014705882,0.528687872,0.378227813,0.273765835,0.32862972,0.236025011,0.059275412,0.123590826,0.03817757,-0.033499732,-0.234115146,0.6,0.5,0.777777778,0.666666667,0.684210526,0.578947368,0.534127138,0.067824205,1.757799458,0.538374688,0.055688257,1.853139869,0.452765315,0.01781328,1.623835746,0.461436266,0.004458334,1.719176157,0.574866764,0.037087125,1.792731479,0.557032196,0.004542687,1.88807189,0
15,404.9307157,89.35882721,0.618457098,0.446492714,0.220676831,7.589466384,0.4,5.624037718,1.190513716,0.750418895,-0.027130294,15.81227926,1.134241656,0.378165936,21.4033209,1.010534092,-0.022376579,0.18003796,-0.471319646,-0.557683744,0.921250435,-0.627589423,-1.401676892,-1.665953866,-1.188236851,3.631439801,4.197986633,4.995481157,5.598881783,6.413244435,7.604363304,8.173477882,9.176055798,9.176055798,0,0.794117647,0.632352941,0.426470588,0.308823529,0.176470588,0.073529412,0.044117647,0.014705882,0.014705882,0,0.431518664,0.164638829,0.114905084,0.043504807,0.067518592,0.097059326,-0.014633262,-0.042767047,0.058196373,0.100945526,0.55,0.5,0.631578947,0.631578947,0.5,0.444444444,0.669482885,0.036561812,1.973295773,0.651307397,0.004266186,2.060460856,0.83142331,0.016021249,2.12989765,0.79349758,0.047200516,2.164757977,0.715002924,0.034374768,2.008994886,0.714812996,0.009718916,2.092875057,0
16,493.0792366,39.44616585,0.503729838,0.437483899,0.079999649,9.620810777,0.2,6.848322731,1.058378895,0.834968065,0.865376295,35.65504883,2.168176674,0.265649677,-43.30243255,7.606268827,1.495583744,1.14569083,-0.810305114,-1.15503365,-0.080746773,-0.888248064,-0.910020469,-1.350180914,-0.924128224,3.955168699,5.326658746,6.272776451,6.917897917,7.877188906,8.67933595,8.67933595,9.120707624,9.898131725,10.16925049,0.823529412,0.529411765,0.397058824,0.323529412,0.235294118,0.176470588,0.176470588,0.132352941,0.058823529,0.029411765,0.16311364,0.148124511,0.273290845,0.308393874,0.157855382,0.04588098,0.158882614,-0.086567209,-0.11020855,-0.105143713,0.7,0.7,0.578947368,0.578947368,0.5,0.5,0.692381127,0.034588276,1.859975815,0.640378706,0.072447268,1.683065664,0.723386013,0.055707979,1.622649592,0.726355671,0.098193395,1.683065664,0.675489308,0.067810263,1.60568532,0.632534795,0.098193395,1.279765135,0
17,551.1723147,54.4242593,0.146460381,0.108242992,0.09874273,8.544003745,0.447213595,7.655171037,1.196469044,0.694859273,-0.091558761,27.55855313,1.017904537,-0.059842826,-38.07352428,0.414740062,-0.933652566,-0.830037411,-0.614530789,-1.189581396,-0.623410833,-0.495554581,-1.076033596,-0.370117653,-0.058779525,3.978956143,4.692381736,5.496140854,5.971846279,6.683881354,7.156340918,8.321139519,9.19775186,9.524625918,0,0.955882353,0.735294118,0.529411765,0.426470588,0.294117647,0.205882353,0.088235294,0.044117647,0.029411765,0,0.147692513,0.078369847,0.125949625,0.136003991,-0.009681916,-0.119508757,-0.005121337,-0.046885845,-0.133287594,-0.097590474,0.6,0.65,0.526315789,0.631578947,0.421052632,0.473684211,0.770535517,0.141231664,1.966340081,0.778106364,0.011809057,2.084229998,0.723387198,0.028746073,1.546181253,0.634473611,0.096722176,1.485900032,0.67695852,0.058090432,1.487604849,0.555027872,0.004465575,1.461808309,0
