Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
data/m05/tracks/,0,985.9834374,146.931957,0.005815665,0.032338634,0.149020715,31.4311947,0,13.69421441,1.008880479,0.941240186,0.510495835,162.0852202,1.632293762,-0.236509488,-18.53586523,3.012539378,1.533521361,4.860334095,2.133037148,-1.225445771,-0.988484302,-1.231386015,-1.078715612,-0.480202138,-0.947717644,9.801562547,10.23210708,10.96962416,11.25257388,11.38632366,12.02992942,12.87163219,13.81754915,15.24821666,16.26528186,0.897058824,0.852941176,0.779411765,0.75,0.735294118,0.661764706,0.573529412,0.485294118,0.382352941,0.323529412,0.590145125,0.487499378,0.55917913,0.577218787,0.624793075,0.404718464,0.256984545,0.382985556,0.430143389,0.238238167,0.35,0.3,0.263157895,0.263157895,0.368421053,0.368421053,0.903235405,0.030171977,2.575386613,0.864257175,0.042348811,2.57655073,0.739927276,0.057950714,2.490745825,0.715112403,0.094371027,2.491909942,0.702550396,0.027780268,2.476179273,0.677458348,0.088857159,2.47734339
data/m05/tracks/,1,68.47123294,4.242640687,0.087020455,0.025397912,0.061962382,1.64924225,0,0.950989346,0.470030201,0.732320789,1.799026622,2.562922091,2.134910362,-0.156714605,-7.248207305,5.143895664,2.220309827,3.036838083,-0.010150809,-0.541045097,-1.042262903,-0.6021984,-0.59412635,-1.446385749,-0.944123333,1.461834288,0,0,0,0,0,0,0,0,0,0.073529412,0,0,0,0,0,0,0,0,0,0.194429832,-0.186650117,0.278619513,0.278022553,-0.083591786,-0.04183825,0.227066024,-0.074956216,-0.091868563,0.121870813,0.428571429,0.357142857,0.428571429,0.428571429,0.4,0.466666667,0.539808291,0.010203727,1.768191887,0.538402178,0.032503,1.351252491,0.53257756,0.010203727,1.768191887,0.553665246,0.044268891,1.351252491,0.550441224,0.010203727,2.034443936,0.573182402,0.044268891,1.351252491
data/m05/tracks/,2,297.316558,90.13878189,0.296739819,0.462810706,0.303174443,6.811754546,0.282842712,4.129396639,1.626505252,0.7857739,-0.255470822,6.084083385,0.67384581,0.039774247,40.24309246,0.487292776,0.114909227,-0.007754543,-0.66807401,0.404952248,0.236877685,-0.072101692,0.094769717,-1.266494354,0.407754221,3.323236247,4.173734059,5.152580634,6.120455231,6.978321314,7.276535565,7.751307026,8.2,0,0,0.911764706,0.617647059,0.382352941,0.25,0.161764706,0.132352941,0.073529412,0.014705882,0,0,0.258088916,0.259117716,0.29820459,0.185615907,0.245047076,0.211271155,0.077668854,0.07400311,0.032354921,0.056305443,0.888888889,0.888888889,0.789473684,0.789473684,0.736842105,0.736842105,0.466998536,0.033688038,1.483014433,0.445659433,0.040115841,1.563837722,0.599525668,0.09924002,1.845324254,0.571248686,0.151647247,1.823034445,0.707550459,0.131486902,2.143185807,0.679144139,0.145636787,2.141957104
data/m05/tracks/,3,240.1905432,162.3607095,0.806213411,0.769032815,0.675966287,7.912016178,0.2,3.335979766,1.788316463,0.791357127,0.446198775,8.118925407,1.616749606,0.569146976,122.0519127,4.068039522,1.527293658,-0.001447234,3.012841966,-0.386281092,-0.088633884,-1.000936842,-0.05058611,-1.512059498,-0.844304113,3.224331027,4.188586435,4.864409519,5.408472456,6.363157121,7.328390997,8.078537434,8.544292474,0,0,0.852941176,0.544117647,0.382352941,0.279411765,0.132352941,0.073529412,0.044117647,0.029411765,0,0,0.440501015,0.36189278,0.247069803,0.160555033,0.21158144,0.009165487,0.017756836,0.026081264,0.072488755,0.011552151,0.15,0.15,0.210526316,0.210526316,0.210526316,0.263157895,0.331486958,0.012280445,1.372933575,0.289932087,0.001481616,1.243927862,0.31674638,0.005458179,1.35415644,0.286765013,0.004754927,1.225150726,0.344483046,0.007301136,1.304900538,0.299951568,0.003211718,1.175894824
data/m05/tracks/,4,1000.523582,168.0743883,0.005281082,0.005168945,0.167986434,31.0567223,0.824621125,13.89616086,1.081772115,0.9106022,0.505628026,191.3902623,1.582555545,-0.248173314,0.16643771,1.67397536,1.115739529,0.954285335,0.385522797,-0.199989075,1.417100009,1.137037899,-0.924015223,1.01904523,1.319808916,10.77117392,11.05164067,12.43110072,13.13862966,14.70562991,17.03909183,19.69357309,20.62364555,22.81888488,23.46430855,0.985294118,0.955882353,0.823529412,0.764705882,0.647058824,0.514705882,0.411764706,0.382352941,0.323529412,0.308823529,0.667288321,0.512726552,0.463147259,0.537273767,0.469180114,0.240713394,0.247541478,0.247722569,0.220391694,0.104282766,0.5,0.4,0.315789474,0.315789474,0.368421053,0.315789474,0.691882725,0.022245327,1.626208536,0.662369153,0.019684896,1.651164643,0.782141965,0.047416792,2.157514983,0.781652293,0.049977224,2.217370885,0.736041732,0.075078173,2.021569568,0.746539583,0.053678626,2.081425469
data/m05/tracks/,5,706.0904609,166.003012,0.039757284,0.028641624,0.235101621,16.06113321,1.019803903,9.806811957,1.294993281,0.80180598,-0.156958607,32.98804597,1.089753983,-0.173635625,47.50685229,1.115362028,0.174782986,0.350292697,-0.422262815,2.112196822,-0.879932737,0.468705377,1.411417195,1.116084923,0.015763208,8.064323189,8.064323189,8.515546098,9.019261165,10.1316518,10.71037453,11.92931837,12.71467146,13.24020178,13.84534539,0.985294118,0.985294118,0.911764706,0.823529412,0.661764706,0.588235294,0.455882353,0.382352941,0.338235294,0.294117647,0.475647795,0.310192965,0.181552965,0.126243566,0.001967792,-0.059954406,-0.09405856,-0.009823862,0.216457312,0.18108511,0.5,0.45,0.473684211,0.473684211,0.5,0.555555556,0.810232454,0.061358482,2.471009921,0.782622042,0.04738914,2.426611497,0.811662571,0.025452797,2.766037279,0.783186412,0.013442167,2.721638854,0.6828222,0.029614049,2.035223525,0.666542265,0.005956017,2.025864938
data/m05/tracks/,6,386.7779664,36.87817783,0.007737345,0.018616229,0.095347153,7.161005516,0,5.371916199,0.92888005,0.709408761,0.067789001,12.93219233,1.331921243,-0.221203474,-28.03093257,4.150836202,0.692299851,-0.54168618,0.093323213,-1.604058781,-1.547101727,-1.036731429,-1.561521146,-1.117574346,-1.111802877,4.113671821,4.585573323,5.249067269,5.734553199,6.23773731,6.828517505,8.153390325,8.227116164,0,0,0.941176471,0.794117647,0.602941176,0.470588235,0.338235294,0.191176471,0.058823529,0.044117647,0,0,0.346636296,0.117838045,0.028417185,0.109594837,0.017676788,0.013450428,-0.010392334,-0.072549434,-0.163694069,-0.009660114,0.65,0.7,0.736842105,0.684210526,0.684210526,0.631578947,0.680499343,0.075223372,1.992611079,0.645947435,0.023234375,1.734987567,0.754784586,0.110414252,1.992611079,0.717984264,0.07075994,1.734987567,0.736533254,0.106962007,2.020972267,0.703048614,0.049486554,1.763348755
data/m05/tracks/,7,424.7012129,169.2837854,0.024603795,0.05584248,0.398595013,11.73882447,0.2,5.898627957,1.459575895,0.6985415,0.303449234,20.92186395,1.602205853,-0.216004681,98.01039262,4.049627468,5.375251727,1.187023677,-0.874099555,-1.247825736,-1.165546946,-1.174334943,-1.501391075,0.272258026,-1.183302791,4.959763128,5.895380418,6.568861923,7.117413902,7.799273115,8.746545887,9.302520832,9.911987493,10.16802847,11.76040606,0.897058824,0.705882353,0.588235294,0.5,0.397058824,0.279411765,0.220588235,0.161764706,0.132352941,0.044117647,0.347579532,0.182920666,0.106862089,0.192336849,0.026329792,0.056714729,-0.057717005,-0.106524983,-0.141230413,-0.166067327,0.5,0.5,0.526315789,0.526315789,0.421052632,0.421052632,0.795432571,0.029646208,2.249880394,0.768714772,0.034215014,2.349198733,0.85910821,0.029646208,2.221762767,0.82967014,0.034215014,2.29044291,0.876480405,0.029646208,2.382534001,0.841173951,0.034215014,2.403451322
data/m05/tracks/,8,400.7576934,165.0030303,0.001629728,0.005054024,0.411727667,7.84346862,0.4,5.566079075,1.638669655,0.843544904,-0.179130988,12.10442869,0.833649439,-0.214885123,97.74784092,0.656844956,-0.660832134,-0.760921614,-0.843948896,-0.907716568,-1.167766051,-0.467829362,0.035268177,-0.683260971,-0.741313282,4.992938925,5.208461099,5.952635976,6.169498025,6.827762912,7.47520183,7.812572718,8.515367701,9.07964757,0,0.955882353,0.897058824,0.705882353,0.647058824,0.455882353,0.308823529,0.235294118,0.088235294,0.014705882,0,0.229508505,0.250848792,0.09523687,0.033767529,0.09960653,0.206586269,0.138633906,0.152028663,-0.006243945,-0.078825686,0.45,0.45,0.421052632,0.421052632,0.444444444,0.444444444,0.797101275,0.031690859,2.499832228,0.706846077,0.032834201,2.538869702,0.765225756,0.060371517,2.549590778,0.668067609,0.061514859,2.588628252,0.640510975,0.018411427,2.163671103,0.532227409,0.019554769,1.219627235
data/m05/tracks/,9,567.5734602,229.7302766,0.317148634,0.209292502,0.404758666,10.18233765,0.721110255,7.882964725,1.556298231,0.697236396,-0.292487407,18.78599768,0.703416588,0.068675781,134.4800514,0.472413825,-0.422879068,-0.329410634,-1.1680655,-1.471131495,-1.189701842,-1.485979336,0.060345789,-1.610678378,-1.169142842,6.546773657,6.546773657,6.930461803,7.601605585,7.877007366,8.392261149,8.860608219,9.595438643,9.903510272,10.45755788,0.985294118,0.985294118,0.897058824,0.75,0.691176471,0.573529412,0.455882353,0.294117647,0.220588235,0.102941176,0.53708588,0.162146609,-0.072364448,-0.038752293,0.054179442,0.007166226,0.016510996,0.01051306,-0.035880792,-0.154002565,0.5,0.45,0.526315789,0.421052632,0.444444444,0.444444444,0.763460054,0.025681353,2.657136574,0.759633772,0.050660918,2.609129006,0.782502257,0.014869921,2.612005104,0.766697697,0.020135465,2.563997536,0.767794708,0.001162371,2.621815581,0.757941976,0.002578286,2.573808013
